videoId,title_sentiment,description_sentiment
K3EgAgqIZJE,-0.5423,-0.9963
e7M-9aK8Ub4,0,0
p7FCgw_GlWc,0,0
LfRmQZXH0ZU,0.3818,0
jZxTMpX13to,0.6124,0.8452
I5rP5hb_c5E,0,0
Fof6vYITQ3w,0,0.9759
kr2Wel5S5tg,-0.25,0.9759
boQxy-ccIAg,0,0
D6czvSwNkRk,-0.4767,0.997
ovsYv-b-wWI,0,0.9022
IZ9_jWV2YTM,0,0.9452
cbXDQkxiQzs,-0.296,-0.5449
3uvLc2DfwaE,0,0
Nkd__P7Z0No,-0.6166,0.3111
UFnPCQN0xoc,0,0
W4S6wMo8AXk,0,0.9852
meKZhXxRia0,0,-0.296
2EpiiTApXzU,0,0.8221
ljtt-aqidL0,0,0.9879
FtabuwW1NmQ,0,0
JpBMT76J3XU,0,0.636
tZzL4jI60p4,0,-0.9919
dlF1KxtArCg,0,-0.1792
ZuxtZAXTXaI,0,0.9943
elVYdnKnKM0,0.5267,0.9883
nNh3-I4BX4c,0.4215,0
0Ocepj2rLYk,0,0.6077
2nifEpRXQno,0,0
OjtiW5PE7yg,0,-0.4344
1U-amrqqCKw,0.6369,0.8883
zbZHVOfPSik,0.6486,0.885
7NqmwKz0OEo,0.4588,0.629
KK8F4n-8L74,-0.34,0.9799
QlzbfKb-zUc,0,0
Zz1me5nNOWA,0,0.3182
OVV-88PRabg,0,0.636
Jg4bE4IU_rE,0,0.7755
V_IVS_MHtAg,0.1779,0.0516
JEeWuKKrEVE,0,0
dHNfeqHs7fk,0,-0.9646
MUFTmvNvu9E,0,-0.9731
dyTonGFaBoo,0,-0.9785
Rr6cbX2vCYY,0.4404,0.8948
62B_XeR9okE,0.2975,0.2975
zbNcl0gZ5ss,0,0
9HtyxxeXP2I,0,0.9594
v-KTcDc3or8,0,0
Yl90KFqDW-Y,0.0258,0.8322
18zhVaJksdI,0,0
FPitV8i1dJs,0,0
zjOypjqC-2E,0,-0.3595
OYMi0axopIc,0,0.8953
MkXvVFVO20I,0,0.7644
cIjRS6u4u8I,0,0.8687
CQobMiCHvc8,0,0.8955
K-8tP_u58ug,0,0.8553
zbdQghFj0lU,0.25,0.8221
wp2PQy_uMJ4,0,0.7644
trx8gy1B6SE,0.296,0.7644
Hvzc3OXc2bU,0,0.8653
a2052PIy7Xk,0,0.8356
U-XDyF8Y_ns,0,0.9523
j0u3uY-iL04,0.296,0.8268
6SvxqoGzQcE,0.296,0.8268
-qqhXvKwSMQ,0,0.7644
IOxOfrlbvCU,0,0.8268
OckuQIpodX8,0.25,0.8268
TsRlO-rN5bE,0,0.7644
08CIKwidrsM,0,0.8685
UgzRUrJ-FzE,0,0.7644
KVm8uPrAsuE,0,0.8553
wkYX2XnTedM,0,0.7772
QFI0FhaaaLY,0,0.9166
PF0VUPTPVh4,0,0.7644
5VHjZOnGouU,0,0.7644
gtjh5UI53R8,0,0.8772
KJzcR8Hr7Pk,0,0.7644
PbdaWIJVhRE,0,0.7777
egRYEcykqXI,0,0.7644
I6QQeAmC-tE,0,0.8908
QQbLLT1K-NA,0,0.7644
v41kVfUUf3g,0,0
Cs5e1zNNwQs,0.5719,0
MXLlAzI6kvc,0,0
jhNCdXdyYwU,0.3382,0.9945
T-cesyyV7zg,0,0
lSPVcI2AYbs,-0.5859,0.8972
qjtQGqGJFk4,0,0.9176
Vd6aZcXk7w0,0.296,-0.9867
VP5UPUSDC4M,0,0
jDtLN9DDu6E,0,0.6486
vtMjYwyCrro,0,0.897
Z1JU5V-nCN8,0,0
CXqxiCYCgKg,0,0
9pV0Km78qHU,0.6988,0.9866
HvKCsdvGM80,0,0
h5iYnNfAxQM,0,0
SKL-3O9LXcs,0,0
i388jlYQo44,0,0
n7uqEeKRSAE,0,0
m2FYA07KTVk,0.1511,0.9778
FxtwEc_XG3c,0,0.9212
mjpaPLnpzlo,0,0.9357
vEh-lSa25ug,0,0.9872
pORT3Z0xHrs,-0.5106,0.3799
FmkeRsz5UJI,0,0
bGEfPUxezsQ,0,0
97CPEVZJdW8,0,0
2KdJmRf89d8,0,0
bsUWK-fixiA,0,0.4767
CUPHqhotql0,0,0.9926
YXmWljRQAY4,0,0.8349
q9Y30myk5A0,0,0
7K7RcAqB16s,0.765,0.5204
UKHcXjoapz8,0.4926,-0.4019
4hSKjy9_76Y,0,0
oG0jSll4g8M,0,0
hnKHkyERvhc,0,-0.2086
r3qBlVfPzXo,-0.5423,0.9832
ybg_5UPoYAs,0,-0.2732
OWGMBTVCkPw,0,0
-M-xXEOZQEY,0.34,0
JIeoHULj_pg,0,0
