channelId,channel_commentCount,channel_viewCount,channel_videoCount,channel_subscriberCount
UCCTTfRvA9wGDfWtEhHRajcw,0,78130,121,224
UC6IcNnxcyg1QX8VC1M8ePXQ,0,285107,2546,731
UCYfMttB5X1awKZFDZIL8uVw,15,57440350,75,125823
UC1VhGkdtk7z_KxB6wtQ-XkQ,0,0,513,1040881
UCtWd7k5O4PeEvJdrGCV9llw,0,424457905,859,345462
UC1VhGkdtk7z_KxB6wtQ-XkQ,0,0,513,1040881
UC1VhGkdtk7z_KxB6wtQ-XkQ,0,0,513,1040881
UC1VhGkdtk7z_KxB6wtQ-XkQ,0,0,513,1040881
UC1VhGkdtk7z_KxB6wtQ-XkQ,0,0,513,1040881
UC1VhGkdtk7z_KxB6wtQ-XkQ,0,0,513,1040881
UC1VhGkdtk7z_KxB6wtQ-XkQ,0,0,513,1040881
UC1VhGkdtk7z_KxB6wtQ-XkQ,0,0,513,1040881
UC1VhGkdtk7z_KxB6wtQ-XkQ,0,0,513,1040881
UC1VhGkdtk7z_KxB6wtQ-XkQ,0,0,513,1040881
UCtWd7k5O4PeEvJdrGCV9llw,0,424457905,859,345462
UCPaJ5g6yjeWb13sZCVDFgHg,0,58259387,7366,136154
UCC2_UvBIiIdItfm5t2zpspg,1,14109007,821,161663
UCRCU-cayVgUUcUwH4Er18mg,0,218404,116,542
UCxvXUTjdi_o-UWSG_PjdxXA,0,0,146,4912
UCgyodDHmG0gEM_nLW0X7DmQ,0,2891,13,62
UCLT6Zcv2CTjr5HSEU0TvoGQ,0,30293,41,136
UCuqf-iuWOE-_VKT4r6SFLFA,0,367320,366,494
UCM4nHRWzIYhwzEk1jMMCu9w,0,40086,221,444
UC-ZGkwWSE01hpp9rjVxlXQw,0,0,91,80
UCM4nHRWzIYhwzEk1jMMCu9w,0,40086,221,444
UCPpXFISZ9DHpUVNs5TtGzKg,0,21353008,226,0
UClkUrNgGC4BD6pWURJbM9MQ,0,2102890505,1330,2865882
UCrre_NCZ69nWUEpi69VurkA,2,63915764,1252,104281
UCzH3iADRIq1IJlIXjfNgTpA,13835,4888398173,7331,8990181
UCjD2KyAEm84yVH8cTilID7Q,619,547780991,1472,1564046
UCR3lnMDr-wKZWAU9hwmb2kg,0,6421255,204,32394
UC0gjBxEfL2rfx-jGnpHkYJw,0,300137,149,2529
UChd1T_w0FmLxZqwt7HiWfoA,2,951865,118,2182
UCobvhgbgYz4zz-CwUFO0MNQ,4,507137,696,754
UCuqf-iuWOE-_VKT4r6SFLFA,0,367320,366,494
UCA589Ju7weQSfWiJV7WL0rg,0,1141977,217,3922
UC7LB0i3SccPK_fPCaq9U2Nw,0,71710,199,557
UCA589Ju7weQSfWiJV7WL0rg,0,1141977,217,3922
UC9Qt6syysPOV80nPzFhncOA,0,0,1450,9303
UCA589Ju7weQSfWiJV7WL0rg,0,1141977,217,3922
UCuqf-iuWOE-_VKT4r6SFLFA,0,367320,366,494
UC9Qt6syysPOV80nPzFhncOA,0,0,1450,9303
UCxn2-sH0UWF4IN9MozY5b2w,0,0,123,550
UCA589Ju7weQSfWiJV7WL0rg,0,1141977,217,3922
UChXdkwCBka69AAkG_YmMDMg,0,16297,125,43
UCFw0BPxgu6IY7Og104Pdt0A,0,62,10,4
UCxn2-sH0UWF4IN9MozY5b2w,0,0,123,550
UCFw0BPxgu6IY7Og104Pdt0A,0,62,10,4
UChXdkwCBka69AAkG_YmMDMg,0,16297,125,43
UChXnu0HBydqedqhnClp0rJg,846,1148282524,84,2891639
UCcF7lkZqxzI2asePTbksVdA,97,1624986873,598,1354247
UCU4R4gpc1cca-jfRsxxlMJw,0,9419710,8,68425
UCYZtp0YIxYOipX15v_h_jnA,34,95769927,45,375169
UC54KoOHlBTYwwBDzBlBYqUQ,0,3398487,41,69183
UCAdGzG0qqGxOYFgI7bx_6lQ,0,2073835,1023,1526
UC2UxR9g2aRZjmDW0MWoSImw,0,260003,79,1580
UChXdkwCBka69AAkG_YmMDMg,0,16297,125,43
UChXdkwCBka69AAkG_YmMDMg,0,16297,125,43
UCJh89s5F7kT0sUShBnd_K2A,0,59317676,6,222761
UC1hkAIJnb2CSmm7SPJaPR-A,2276,281534485,401,1317858
UCEjpDVhL4EDd9nGGDzOtklw,0,29146678,258,106237
UCZKAQFEqT8KLXhU9NVnf4DQ,0,490702,3,985
UCLgnYwxYbkMzDTJrKh_gt0w,0,941951,87,2158
UC9Ieo7nCB5DL9iN7a4Nhyew,58,1822522,147,42754
UCbY06EnieXZfq6IB5bz0E4A,0,494224,128,1792
UCA589Ju7weQSfWiJV7WL0rg,0,1141977,217,3922
UCGHnpcpTUDmxqedOMaoknOw,0,3578,6,14
UCEvLUnQiH-i1XUNikh0Zm4g,58,615392696,299,629864
UCJrOtniJ0-NWz37R30urifQ,1,1782275898,89,6169473
UCfccEyhjFM1HYgz2rleBkbg,0,22988681,10,25979
UCcXhhVwCT6_WqjkEniejRJQ,2,69666266,56,493527
UCjv_tEXxcybQvd6sh5dthNA,0,11865920,3,37809
UCdmGjywrxeOPfC7vDllmSgQ,2686,424916359,4725,2506623
UC9IWApEJZXJjGUhSb_XVezA,0,63721694,165,406233
UCYHu8vexHP1AcLexV9y-aPA,18,47721266,14,31743
UC25Ug6Fv2Lo15LJOxd9SUsw,0,41577304,947,55990
UCjt7bEwtlk6A6f_CiY2ZOlQ,690,114601687,1799,950160
UCQYFcmkITCqUjiHR-0bLNmg,0,5470468,50,71877
UCYeULgSpNzQxpfBnLuhyYVQ,1,237057,124,3678
UC2W9a0NxbBD53ivsdsnG6SQ,284,75816459,1386,321976
UChUYaEUEHOEbsYT4wKZNQsA,0,135667,22,429
UCytynKQNsFXHwMWrccu1Y3Q,0,5792,18,176
UCHHHchyZJr0DdUqxw74guUw,0,87690,41,207
UCzZUyuXKKhw7JGoBZ6utmJQ,4,45261165,10,72741
UCqZZoXlUEki3H7_GCQrw53A,0,463679758,214,591076
UChpJbg7zMbi5jx9Gdjaxa9g,15555,2108620606,61,3278173
UCKY-EJwqXAYanBvuvkyMemg,0,34273616,9,55793
UCloweRF4YoKEC0zfHP1Bp7Q,0,153079059,12,239671
UCPy8l1I_lSGSGyNZ2Zf2xrg,0,89466981,40,491449
UCdvlHk5SZWwr9HjUcwtu8ng,13390,63307814,34,288624
UCdvlHk5SZWwr9HjUcwtu8ng,13390,63307814,34,288624
UCSyJ91P4vEXpEDOOmnHONGg,0,12148284,213,5631
UCGcltwAa9xthAVTMF2ZrRYg,0,150602288,307,262020
UCoxcjq-8xIDTYp3uz647V5A,1122,261520446,416,2034370
UCjt7bEwtlk6A6f_CiY2ZOlQ,690,114601687,1799,950160
UCkZx7Z1DzcKpCHEjWLoHQWw,6,12322774,344,153861
UCuU2ZiPSihEa4jsrO9BDyUw,0,139486,59,889
UCFU2w9uDYbZecdjNEQknDxQ,0,38087001,79,98788
UCOWNTafKT6R14Mh3EAWDAcg,0,3313183,269,0
UCxJ0Bsk6S9AfiVp7r0RNIaw,0,2107269,211,17303
UCHb4HzM2ShqZ9xqlVjysEFQ,0,3758,6,5
UCAdEK7fp4GtXpJy04C7cl2A,0,24816,11,207
